측정일자,도로변구분,측정소명,미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
20220915,일반도로,종로,34,0.01,0.035,0.6,0.003
20220916,일반도로,종로,26,0.028,0.012,0.4,0.003
20220917,일반도로,종로,36,0.023,0.018,0.4,0.003
20220918,일반도로,종로,67,0.006,0.045,1,0.004
20220919,일반도로,종로,54,0.002,0.046,1,0.003
20220920,일반도로,종로,34,0.006,0.036,0.7,0.003
20220921,일반도로,종로,18,0.026,0.007,0.4,0.003
20220922,일반도로,종로,26,0.026,0.008,0.4,0.002
20220923,일반도로,종로,48,0.01,0.034,0.7,0.003
20220924,일반도로,종로,45,0.004,0.046,0.8,0.003
20220925,일반도로,종로,37,0.01,0.034,0.6,0.003
20220926,일반도로,종로,58,0.014,0.032,0.8,0.003
20220927,일반도로,종로,52,0.006,0.05,1,0.004
20220928,일반도로,종로,32,0.017,0.023,0.5,0.003
20220929,일반도로,종로,26,0.012,0.027,0.5,0.003
20220930,일반도로,종로,38,0.024,0.011,0.4,0.002
20221001,일반도로,종로,85,0.012,0.041,0.9,0.003
20221002,일반도로,종로,77,0.011,0.041,0.8,0.003
20221003,일반도로,종로,36,0.004,0.044,0.7,0.003
20221004,일반도로,종로,22,0.019,0.018,0.4,0.003
20221005,일반도로,종로,43,0.024,0.012,0.5,0.003
20221006,일반도로,종로,64,0.01,0.031,0.8,0.003
20221007,일반도로,종로,31,0.002,0.039,0.7,0.003
20221008,일반도로,종로,40,0.002,0.044,0.9,0.003
20221009,일반도로,종로,38,0.004,0.044,0.8,0.003
20221010,일반도로,종로,44,0.007,0.042,0.8,0.003
20221011,일반도로,종로,44,0.004,0.049,0.9,0.003
20221012,일반도로,종로,32,0.008,0.035,0.7,0.003
20221013,일반도로,종로,23,0.015,0.024,0.5,0.003
20221014,일반도로,종로,22,0.019,0.016,0.4,0.003
20221015,일반도로,종로,27,0.009,0.029,0.6,0.003
20221016,일반도로,종로,18,0.024,0.009,0.3,0.003
20221017,일반도로,종로,30,0.007,0.037,0.7,0.002
20221018,일반도로,종로,57,0.005,0.052,1,0.003
20221019,일반도로,종로,44,0.006,0.043,0.9,0.003
20221020,일반도로,종로,36,0.013,0.03,0.6,0.003
20221021,일반도로,종로,27,0.019,0.026,0.5,0.002
20221022,일반도로,종로,48,0.017,0.03,0.7,0.003
20221023,일반도로,종로,30,0.011,0.032,0.6,0.003
20221024,일반도로,종로,31,0.023,0.015,0.4,0.002
20221025,일반도로,종로,44,0.027,0.013,0.4,0.002
20221026,일반도로,종로,122,0.013,0.044,1,0.003
20221027,일반도로,종로,139,0.011,0.047,1,0.002
20221028,일반도로,종로,93,0.028,0.04,0.8,0.003
20221029,일반도로,종로,65,0.018,0.045,0.7,0.003
20221030,일반도로,종로,38,0.008,0.038,0.7,0.002
20221031,일반도로,종로,49,0.017,0.031,0.6,0.002
